========================================================================
  ConstructiveHeuristic — unknown
========================================================================
  alpha=0.7  time_limit=60s  seed=None  min_sep=10.0
  weights: makespan=10.0  delay=100.0  movements=1.0

  Instance: 20 aircraft  5 positions  3 blocking arcs
  Blocking arcs: P3→P4  P3→P5  P4→P5

────────────────────────────────────────────────────────────────────────
  Best construction detail  (iter 360  obj=17925.3000)
────────────────────────────────────────────────────────────────────────
Blocking arcs: P3→P4  P3→P5  P4→P5

Aircraft initial ranking (target_finish ASC, total_duration ASC):
  Rank   ID       earliest     target    duration
  ----------------------------------------------
  [ 0]  R12          8.13      26.68        5.78
  [ 1]  R16         13.56      33.59        6.63
  [ 2]  R18         21.73      36.67        8.07
  [ 3]  R19         24.49      40.61        9.19
  [ 4]  R20         23.48      41.03        9.78
  [ 5]  R1           0.00      44.30       18.30
  [ 6]  R2           0.00      45.31       15.20
  [ 7]  R6           1.33      48.84       17.28
  [ 8]  R4           0.00      50.96       16.65
  [ 9]  R7           1.21      51.55       13.93
  [10]  R9           5.74      52.76       12.59
  [11]  R8           3.72      55.02       15.47
  [12]  R13         12.70      58.93       21.38
  [13]  R10          6.71      60.59       11.87
  [14]  R15         14.34      60.60       13.77
  [15]  R14         11.68      65.28       21.00
  [16]  R5           0.00      66.94       21.24
  [17]  R3           0.00      69.01       24.82
  [18]  R11         11.01      72.99       29.10
  [19]  R17         18.00      75.72       22.10

========================================================================
  STEP 1/20
========================================================================

  Pair evaluation  (100 pairs):
    Rank   ID      Pos     t_start   t_finish    delay      gap   blocking      score    weight     P(%)   cum(%)
    ---------------------------------------------------------------------------------------------------------
    [ 0]  R12     P1         8.13      13.91     0.00     0.00       none     139.15    1.0000   70.00%   70.00%
    [ 1]  R12     P2         8.13      13.91     0.00     0.00       none     139.15    0.3000   21.00%   91.00%
    [ 2]  R12     P3         8.13      13.91     0.00     0.00       none     139.15    0.0900    6.30%   97.30%
    [ 3]  R12     P4         8.13      13.91     0.00     0.00       none     139.15    0.0270    1.89%   99.19%
    [ 4]  R12     P5         8.13      13.91     0.00     0.00       none     139.15    0.0081    0.57%   99.76%
    [ 5]  R7      P1         1.21      15.14     0.00     0.00       none     151.39    0.0024    0.17%   99.93%
    [ 6]  R7      P2         1.21      15.14     0.00     0.00       none     151.39    0.0007    0.05%   99.98%
    [ 7]  R7      P3         1.21      15.14     0.00     0.00       none     151.39    0.0002    0.02%   99.99%
    [ 8]  R7      P4         1.21      15.14     0.00     0.00       none     151.39    0.0001    0.00%  100.00%
    [ 9]  R7      P5         1.21      15.14     0.00     0.00       none     151.39    0.0000    0.00%  100.00%
    [10]  R2      P1         0.00      15.20     0.00     0.00       none     152.00    0.0000    0.00%  100.00%
    [11]  R2      P2         0.00      15.20     0.00     0.00       none     152.00    0.0000    0.00%  100.00%
    [12]  R2      P3         0.00      15.20     0.00     0.00       none     152.00    0.0000    0.00%  100.00%
    [13]  R2      P4         0.00      15.20     0.00     0.00       none     152.00    0.0000    0.00%  100.00%
    [14]  R2      P5         0.00      15.20     0.00     0.00       none     152.00    0.0000    0.00%  100.00%
    [15]  R4      P1         0.00      16.65     0.00     0.00       none     166.50    0.0000    0.00%  100.00%
    [16]  R4      P2         0.00      16.65     0.00     0.00       none     166.50    0.0000    0.00%  100.00%
    [17]  R4      P3         0.00      16.65     0.00     0.00       none     166.50    0.0000    0.00%  100.00%
    [18]  R4      P4         0.00      16.65     0.00     0.00       none     166.50    0.0000    0.00%  100.00%
    [19]  R4      P5         0.00      16.65     0.00     0.00       none     166.50    0.0000    0.00%  100.00%
    [20]  R1      P1         0.00      18.30     0.00     0.00       none     183.00    0.0000    0.00%  100.00%
    [21]  R1      P2         0.00      18.30     0.00     0.00       none     183.00    0.0000    0.00%  100.00%
    [22]  R1      P3         0.00      18.30     0.00     0.00       none     183.00    0.0000    0.00%  100.00%
    [23]  R1      P4         0.00      18.30     0.00     0.00       none     183.00    0.0000    0.00%  100.00%
    [24]  R1      P5         0.00      18.30     0.00     0.00       none     183.00    0.0000    0.00%  100.00%
    [25]  R9      P1         5.74      18.33     0.00     0.00       none     183.34    0.0000    0.00%  100.00%
    [26]  R9      P2         5.74      18.33     0.00     0.00       none     183.34    0.0000    0.00%  100.00%
    [27]  R9      P3         5.74      18.33     0.00     0.00       none     183.34    0.0000    0.00%  100.00%
    [28]  R9      P4         5.74      18.33     0.00     0.00       none     183.34    0.0000    0.00%  100.00%
    [29]  R9      P5         5.74      18.33     0.00     0.00       none     183.34    0.0000    0.00%  100.00%
    [30]  R10     P1         6.71      18.58     0.00     0.00       none     185.81    0.0000    0.00%  100.00%
    [31]  R10     P2         6.71      18.58     0.00     0.00       none     185.81    0.0000    0.00%  100.00%
    [32]  R10     P3         6.71      18.58     0.00     0.00       none     185.81    0.0000    0.00%  100.00%
    [33]  R10     P4         6.71      18.58     0.00     0.00       none     185.81    0.0000    0.00%  100.00%
    [34]  R10     P5         6.71      18.58     0.00     0.00       none     185.81    0.0000    0.00%  100.00%
    [35]  R6      P1         1.33      18.61     0.00     0.00       none     186.06    0.0000    0.00%  100.00%
    [36]  R6      P2         1.33      18.61     0.00     0.00       none     186.06    0.0000    0.00%  100.00%
    [37]  R6      P3         1.33      18.61     0.00     0.00       none     186.06    0.0000    0.00%  100.00%
    [38]  R6      P4         1.33      18.61     0.00     0.00       none     186.06    0.0000    0.00%  100.00%
    [39]  R6      P5         1.33      18.61     0.00     0.00       none     186.06    0.0000    0.00%  100.00%
    [40]  R8      P1         3.72      19.19     0.00     0.00       none     191.89    0.0000    0.00%  100.00%
    [41]  R8      P2         3.72      19.19     0.00     0.00       none     191.89    0.0000    0.00%  100.00%
    [42]  R8      P3         3.72      19.19     0.00     0.00       none     191.89    0.0000    0.00%  100.00%
    [43]  R8      P4         3.72      19.19     0.00     0.00       none     191.89    0.0000    0.00%  100.00%
    [44]  R8      P5         3.72      19.19     0.00     0.00       none     191.89    0.0000    0.00%  100.00%
    [45]  R16     P1        13.56      20.19     0.00     0.00       none     201.93    0.0000    0.00%  100.00%
