========================================================================
  Topology-Aware Heuristic — run summary
========================================================================
  Instance aircraft : 30
  Positions         : ['P1', 'P2', 'P3', 'P4', 'P5']
  Blocking load     : P1=0  P2=0  P3=2  P4=1  P5=0

  Parameters:
    time_limit_s: 60
    min_separation: 10.0
    weight_makespan: 0.1
    weight_delay: 1.0
    weight_movements: 10
    weight_topology: 1.0
    alpha: 0.3
    seed: None
    log_enabled: True
    MIPGap: 0.0
    NoRelHeurTime: 0

========================================================================
  Iterations: 32
  Best objective: 235.3770
  Makespan: 238.5000   Delay: 191.5270   Movements: 2
========================================================================

  Improvement log:
  iter=1  t=0.00s  obj=267.69  makespan=249.24  delay=242.76  mov=0  *
  iter=4  t=7.51s  obj=259.39  makespan=249.24  delay=214.47  mov=2  *
  iter=18  t=26.57s  obj=255.81  makespan=260.37  delay=229.77  mov=0  *
  iter=21  t=34.49s  obj=235.52  makespan=251.14  delay=210.40  mov=0  *
  iter=27  t=50.99s  obj=235.38  makespan=238.50  delay=191.53  mov=2  *

========================================================================
  Best solution — aircraft assignments:
  ID      Pos    load   duration     start    finish    delay
  --------------------------------------------------------
  R3      P3        2      19.65      0.00     19.65     0.00
  R1      P5        0      26.62      0.00     26.62     0.00
  R2      P1        0      29.04      0.00     29.04     0.00
  R4      P4        1      26.60      0.00     26.60     0.00
  R5      P2        0      27.39      7.76     35.15     0.00
  R6      P5        0      32.70     36.62     69.32     0.00
  R7      P3        2      23.76     36.62     60.38     0.00
  R18     P4        1      31.95     36.62     68.57     0.00
  R11     P1        0      35.39     39.04     74.43     0.00
  R15     P2        0      16.75     45.15     61.90     0.00
  R8      P3        2       6.50     70.38     76.88     0.00
  R17     P2        0      32.19     71.90    104.09     0.00
  R10     P5        0      30.05     79.32    109.37     0.00
  R20     P4        1      21.70     82.65    104.35     0.00
  R23     P1        0      20.42     84.43    104.85     0.00
  R9      P3        2      17.47     86.88    104.35    17.15
  R19     P2        0      25.37    114.09    139.46     0.00
  R12     P3        2      31.28    114.35    145.63     0.00
  R21     P4        1      27.48    114.35    141.83     0.00
  R27     P1        0      21.10    114.85    135.95     0.00
  R28     P1        0      22.64    145.95    168.59     0.00
  R24     P2        0      22.14    149.46    171.60     9.53
  R14     P5        0      36.54    150.59    187.13     0.00
  R22     P4        1      33.40    153.73    187.13     0.00
  R13     P3        2      31.50    155.63    187.13     4.09
  R30     P1        0      34.12    178.59    212.71    12.96
  R25     P2        0      36.68    181.60    218.28    22.16
  R16     P3        2      36.10    197.13    233.23    49.07
  R26     P4        1      37.94    197.13    235.07    39.56
  R29     P5        0      41.37    197.13    238.50    37.02
========================================================================
